Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
nieves050802,Andalucía,3,Vestido de Pianurastudio,"vestido con estampado de cebra en la parte superior separadado de la parte inferior por una banda de cuero negro , es totalmente eslastico. Se encuentra en muy buen estado ",0,M / 38 / 10,PianuraStudio,Muy bueno,"10,00 €",1,0
armariodepompon,Vigo,5,Chaqueta verde Lolittos ,Preciosa chaqueta de punto en estado impecable. Usado un par de ocasiones. ,0,3 años / 92-98 cm,Lolittos,Muy bueno,"12,00 €",10,0
mariangel77,,1,Botas fútbol Messi 2015,Botas de fútbol casi nuevas del 41 y medio con suela de multitacos,0,41,Adidas,Muy bueno,"20,00 €",1,0
angelapb97,,2,Camisa Kilarny mujer ,"Camisa azul lisa con bordados de la marca 
Talla S",0,S / 36 / 8,Killstar,Muy bueno,"15,00 €",9,0
anacas7,Alicante,3,Camisa de Gocco,"Camisa de botones sin mangas, talla M",0,13-14 años/ 152-158 cm,GOCCO,Muy bueno,"5,00 €",9,0
lidiacece17,,3,Cuñas de bershka color beige y rafia,"Buenísima calidad, puestas en varias ocasiones pero de aspecto muy cuidadas. Lo único que pueden tener un poco más tomado es la plantilla de dentro.  Quedan preciosas puestas",0,39.5 ,Bershka,Bueno,"8,00 €",2,0
nereapda,Alcorcón,3,Short vaquero Levi’s,Short deshilachado de la talla W29. Muy poco uso.,0,M / 38 / 10,Levi's,Muy bueno,"15,00 €",27,0
sr_anton13,,3,Chaqueta Geographical Norway Beis,Chaqueta Geographical Norway Beis talla M tipo canguro,2,M,Geographical Norway,Muy bueno,"30,00 €",4,0
nervio73,,3,Falda vaquera T38,Falda vaquera de Zara talla 38,0,M / 38 / 10,Zara,Muy bueno,"5,00 €",26,0
melislrn,Callosa de Segura,9,Top Negro Bershka,"Es ajustado y de encaje. Esta en perfecto estado. 
Es una S pero queda bastante ceñido es decir puede dar como xs.",0,S / 36 / 8,Bershka,Muy bueno,"4,00 €",1,0
sandritaaa.sp,Santiago de Compostela,2,Beisbolera granate,buen estado,0,S / 36 / 8,Pull & Bear,Muy bueno,"5,00 €",23,1
aibean,Carcaixent,19,Chaqueta vaquera Calvin Klein,Chaqueta Vaquera Calvin Klein Jeans. Es de color blanco con botones a conjunto con efecto viejo. Es una talla XS. No está utilizada,1,XS / 34 / 6,Calvin Klein,Nuevo sin etiquetas,"10,00 €",12,0
mata2882,,1,Camiseta pullybear ,"Esta nueva no está casi usada 
",0,S / 36 / 8,Pull & Bear,Nuevo sin etiquetas,"5,00 €",1,1
armariodepompon,Vigo,5,Vestido Lolittos talla 3 años ,Jesusito de la marca Lolittos. Cuerpo de punto y falda de vuelo. Usado pero todavía tiene vida,0,3 años / 92-98 cm,Lolittos,Bueno,"12,00 €",5,0
purpurape,,4,Vestido Pull & Bear,"Vestido de algodón, con un poco de vuelo, muy poco uso. Talla L, aunque talla pequeño; es como una 40",1,L / 40 / 12,Pull & Bear,Muy bueno,"5,00 €",10,0
pequearoca,San Sebastian De Los Reyes,8,Sandalia TEX ,Sandalia plana negra sin uso. Número 36.,0,36,Tex,Nuevo sin etiquetas,"4,00 €",1,0
karen1998g,,4,Top encaje,nuevo ,1,L / 40 / 12,SheInside,Nuevo sin etiquetas,"2,00 €",1,0
bcn-clothes,,1,Chaqueta Kaotiko rasta,En perfecto estado.,0,M,Kaotiko,Nuevo sin etiquetas,"18,00 €",1,0
evasancan,,46,Camiseta Mickey,camiseta. Es una talla M pero da para L. ,1,M / 38 / 10,Disney,Nuevo sin etiquetas,"3,00 €",7,1
helenaferrandorico,,25,Sandalias de piel,"En la sandalia pone que es la talla 40 pero da en pequeño, sería para un 39. ",0,39,made in spain,Muy bueno,"8,00 €",2,0
celia.dafne,,3,Vestido básico ,varias veces usado,1,S / 36 / 8,Zara,Bueno,"4,00 €",1,0
julierr87,Benissanet,1,Zapatos de tacon negros JustFab,Zapatos de tacon negro de ante usados dos veces. Tacon de 14cm con plataforma de 5cm delante. ,0,37,JustFab,Muy bueno,"8,00 €",1,0
plandaz,,1,Zapatillas de fútbol Adidas f50,"Usado dos veces, talla 44",2,44,Adidas,Muy bueno,"15,00 €",6,0
cgamar,,2,Chaqueta 3/4 Chelsea Adidas oficial,M americana equivalente a una L europea,0,L,Adidas,Satisfactorio,"10,00 €",12,0
linatac,Gava,11,Zapatos creepers granate Lamoda,"usados 1 vez, tienen algunas marquitas indicadas en las fotos",0,37,Lamoda,Bueno,"8,00 €",7,0
edurnecf,Barakaldo,47,Mono verde ,"Es elástico, con una goma para que se ajuste a la cintura. Tiene una apertura entre los pechos. Es pantalón pirata. Muy cómodo.",0,M / 38 / 10,,Muy bueno,"4,50 €",28,0
sr_anton13,,3,Sudadera Vazva talla M,Sudadera Vazva negra con logo blanco talla M,0,M,Blanco,Muy bueno,"10,00 €",1,0
laura_cantero,Jaen,22,Minifalda vaquera de zara,No usado nunca,0,S / 36 / 8,Zara,Nuevo sin etiquetas,"8,00 €",9,1
patriciatvillar,,1,Bolso Tous bicolor,"Bolso a estrenar de la marca Tous. Dos colores tono nude: verde y rosa palo, ideal para combinarlo. Costó 90€ hace unos meses...
",3,,Tous,Nuevo con etiquetas,"25,00 €",10,0
susa32910,,3,Tunica,"Usado, playero, usado",0,M / 38 / 10,Sin Marca,Bueno,"5,00 €",15,0
lau270678,Santander,3,Camperas,Muy cómodas y míticas ,0,37,Sancho,Bueno,"25,00 €",2,0
giselito,,2,Sudadera Cazafantasmas,Sudadera del pull & bear de ghostbusters. Abriga bastante,2,L,Pull & Bear,Bueno,"5,00 €",1,0
ainoa-lg,Puentenansa,1,"Pulseras elásticas de colores, hechas a mano.",Si veis q el tamaño es muy pequeño o muy grande decirme la medida y la hago junto con el diseño deseado....muchas gracias y buenos días. 😊😊😊😊,0,,hecho a mano,Nuevo sin etiquetas,"2,10 €",15,0
malis1971,Madrid,1,Falda animal Print + cinturón,"Falda impecable, usado una vez, talla S. El cinturón està a estrenar, se adapta fácilmente a cada cintura y queda genial con la falda. OFERTA: falda 5€+ cinturón 2€",0,S / 36 / 8,Animal,Muy bueno,"6,00 €",2,0
giselito,,2,Chaqueta Chándal Nike ,Un año de uso,4,L,Nike,Muy bueno,"15,00 €",3,0
edurnecf,Barakaldo,47,Top de punto de Stradivarius ,Marrón anaranjado. Es corta. Sin usar.,3,S / 36 / 8,Stradivarius,Nuevo sin etiquetas,"3,00 €",2,0
andrea00teran,,3,Zapatos charol rojo,Nuevo/ talla 40,0,40,Mustang,Nuevo sin etiquetas,"10,00 €",7,0
